cluster_label,cluster_center
0,The Battle Against Critical Race Theory
1,Youd better believe theyre teaching CRT in schools
2,Opinion | Let Talk About Critical Race Theory Bans in Schools
3,Senate passes CRT Bill
4,Tennessee bans teaching of critical race theory in schools
5,Number of teachers pledging to teach Critical Race Theory in Surprise stagnates at two
6,Nebraska governor backs university anti - CRT resolution amid backlash
7,The Push Against Teaching Critical Race Theory in Schools is Growing
8,Critical Race Theory Mississippi
9,Scholar : The fight against CRT is one of national survival
10,No new teachers in Downers Grove sign pledge on Sept . 19 to teach Critical Race Theory
11,Critical race theory in the schools
12,Concerns About Critical Race Theory At The School Board Meeting
13,Critical Race Theory Investigator Christopher Rufo :  This Is How the Media Lies  
14,General Milley is clueless on critical race theory
15,Teachers Unions Push CRT in Schools
16,Department of Education wisely retreats from critical race theory
17,What to look for in a CRT monitor : The ultimate guide for retro gamers
18,Letter : A response to letter about Critical Race Theory
19,LETTERS TO THE EDITOR : Lies about Critical Race Theory
20,Here What You Need To Know About A Texas Bill That Aims To Ban Critical Race Theory
21,Freddie Mac CRT Program Reports 2021 Issuance Of Nearly $20B
22,Critical Race Theory Is a Potent Issue in the Virginia Governor Race
23,Critical Race Theory Bill Introduced In Senate
24,Ann Coulter : What Dumber Than CRT ? CNN
25,Wisconsin assembly passes bill banning critical race theory in the classroom
26,No new teachers in Glen Ellyn sign pledge on Oct . 19 to teach Critical Race Theory
27,"WATCH : Parents , Activists Protest CRT at Texas School Board Meeting"
28,CRT In the Legislature
29,Critical Race Theory not taught in some local school districts
30,How a Texas school got caught up the critical race theory fight
31,COMMENTARY : The truth about CRT
32,Some Schools Pay to Push CRT Curriculum at the Literal Expense of Everything Else
33,Ted Cruz questions Ketanji Brown Jackson about  critical race theory  
34,Biden Ed . Dept : Pushing CRT activist handbook was an  error  | Politics News
35,Nick Reed PODCAST : 07 . 23 – CRT Popping Up In More MO Schools
36,The Left Assault on  Racist  Math Continues : DeSantis Rejects CRT - Riddled Textbooks
37,Indiana school administrator : Youd better believe we teach CRT -- and lie to parents about it
38,"Lawmakers : COVID relief funds paid for  equity warriors , CRT lessons in public schools | Latest News"
39,So What The Deal With Critical Race Theory
40,COMMENTARY : The truth about CRT
41,McAuliffe cant define CRT but calls opponents  racist  
42,Bill banning critical race theory in school advances
43,"CURRICULUM CONTROVERSY : District responds to claims it will implement CRT , gender identity lessons"
44,Report sparks debate over bans on critical race theory
45,Letter to the Editor : CRT is racism
46,10 Things in Politics : Educators Scramble Over CRT
47,Local Parents Speak Out Against Critical Race Theory | News Radio 101 . 9 Big WAAX
48,DeSantis hopes to block Critical Race Theory from Florida classrooms
49,Guest commentary : Legislation on critical race theory isnt a good idea
50,Racist CRT Lessons in Public School Classrooms
51,Black Senators Walk Out As Mississippi Lawmakers Pass A Bill To Ban Critical Race Theory
52,New Report Shatters Media Lie That CRT Isnt Taught In Virginia Schools
53,Kristi Noem Pens Bill Blocking Critical Race Theory in South Dakota Schools
54,Republicans unveil bill to ban federal funding of critical race theory
55,Florida bans  critical race theory  from its classrooms
56,GOP : The Fight Against Critical Race Theory Has Only Just Begun
57,Thomas Gallatin : Backlash Against CRT Is Growing The Patriot Post
58,"CRT : What it is , what to do"
59,Critical race theory : The education trap
60,The Controversy Over Critical Race Theory Is Creeping Into Kansas Schools
61,Republicans Move Against Teaching Critical Race Theory in Schools
62,PODCAST : 05 . 22 - Critical Race Theory
63,  Stand Up And Demand Accountability : Tulsa Schools Warned For Violating CRT Ban
64,Gov . Youngkin Defends Ending CRT In Virginia School Children Education
65,Banned Florida Math Books : See Examples of CRT in Textbooks – NBC 6 South Florida
66,Joe Biden Wants to Take Critical Race Theory to the Next Level
67,  Anti - CRT  school board candidates are winning
68,"Critical race theory : Myths , Marxism and more"
69,Mom At Center Of CRT Revelations :  Parents Are Not Domestic Terrorists  
70,Critical race theory undermines military effectiveness
71,The Battle Against Critical Race Theory
72,"Masks , critical race theory affecting school board races"
73,New e - book aims to help parents  combat  CRT in schools
74,Bill banning critical race theory in Arizona heads to committee
75,Educators Sue Missouri School District for Critical Race Theory Training
76,Critical Race Theory : What Christians Need to Know
77,Parents against critical race theory
78,Let honor Martin Luther King Jr . today by rejecting critical race theory
79,FLORIDA SAYS  NO : DeSantis Unveils  Stop WOKE Act  to Remove CRT from  Schools and Workplaces  
80,CRT Boosts Heart Failure Survival in Extended Follow - Up
81,Moms Threatened With Lawsuit For Questioning CRT Curriculum
82,Short Interest in Cross Timbers Royalty Trust ( NYSE : CRT ) Grows By 333 . 3 % 
83,Teachers union will defend members on critical race theory
84,Masks And CRT Are Just The Start : It Time To Break Public Schools
85,Idaho House And Senate Pass Bill Banning Critical Race Theory In Schools
86,Georgia Board of Education targets teaching of  critical race theory  | State
87,Oklahoma House OKs ban on teaching critical race theory
88,CRT is dividing Democrats and rallying Republicans
89,Biden Set to Push Critical Race Theory on U . S . Schools
90,What Is Critical Race Theory Anyway ? 
91,"Space Force Officer Relieved After Denouncing Marxism , Critical Race Theory in Military"
92,Critical race theory discussions surface across county
93,Demonizing Critical Race Theory | History News Network
94,Florida rejects 54 new math textbooks citing critical race theory
95,Tenn . House passes bill to ban funding of schools teaching CRT | Politics
96,"UCLA database reveals well - funded push for critical race theory , argues Cornell law professor"
97,Bill Banning Critical Race Theory Fails Introduction in Wyoming
98,"  100 % projection : Joy Reid slammed for smearing opponents of CRT as racist , terrified radicals"
99,Parents Defending Education fights critical race theory in schools
